ratio	huge-per-pkt	norm-per-pkt	huge	norm	event
0.9869	0.0759	0.0769	7527543	7627830	branch-misses
0.9998	261.6252	261.6815	25953224122	25958805492	bus-cycles
0.9913	11.0663	11.1638	1097776620	1107448452	cache-misses
0.9875	231.2327	234.1539	22938287343	23228064617	cache-references
0.9998	261.6179	261.6724	25952497369	25957902715	cycles
0.9875	544.9995	551.9052	54063953179	54748999759	instructions
1.0226	88.3138	86.3657	8760729262	8567481375	stalled-cycles-backend
1.0759	1.0667	0.9915	105818001	98354186	stalled-cycles-frontend
0.0	0.0	0.0	0	0	alignment-faults
0.0	0.0	0.0	0	0	bpf-output
0.0	0.0	0.0	0	0	context-switches
0.0	0.0	0.0	0	0	cpu-migrations
0.0	0.0	0.0	0	0	emulation-faults
0.0	0.0	0.0	0	0	major-faults
0.0	0.0	0.0	0	0	minor-faults
0.0	0.0	0.0	0	0	page-faults
0.9914	11.0678	11.1641	1097922513	1107475973	L1-dcache-load-misses
0.9876	231.2713	234.1816	22942113938	23230816634	L1-dcache-loads
1.1624	0.0158	0.0136	1562760	1344409	L1-icache-load-misses
0.9874	142.489	144.3071	14134908380	14315260366	L1-icache-loads
0.9867	0.0759	0.0769	7526729	7628558	branch-load-misses
0.9873	58.8622	59.6165	5839129489	5913959715	branch-loads
1.0051	0.5074	0.5048	50333148	50078141	dTLB-load-misses
0.9874	247.8037	250.9618	24582122817	24895414940	dTLB-loads
1.1876	0.0008	0.0007	78280	65914	iTLB-load-misses
0.9876	86.7479	87.8388	8605392414	8713606566	iTLB-loads
2.9702	0.0001	0.0	6181	2081	dtlb_walk
2.8084	0.0	0.0	3533	1258	itlb_walk
0.9873	231.2575	234.2294	22940742562	23235554152	l1d_cache
0.9852	1.5488	1.5721	153642167	155952050	l1d_cache_inval
0.9872	161.5631	163.6537	16027058815	16234448231	l1d_cache_rd
0.9912	11.0674	11.1661	1097881643	1107676765	l1d_cache_refill
0.9952	7.5633	7.6	750274410	753917412	l1d_cache_refill_inner
1.8745	0.0462	0.0247	4586884	2447009	l1d_cache_refill_outer
0.9927	6.4772	6.5249	642542918	647268055	l1d_cache_refill_rd
0.9889	4.5904	4.6418	455365984	460471361	l1d_cache_refill_wr
0.9886	9.1226	9.2281	904959154	915432025	l1d_cache_wb
0.9525	0.1697	0.1782	16833613	17673818	l1d_cache_wb_clean
0.9892	8.9526	9.0504	888102254	897802419	l1d_cache_wb_victim
0.9874	69.6982	70.5912	6914061621	7002642506	l1d_cache_wr
0.9873	247.7898	250.9686	24580748933	24896087005	l1d_tlb
0.9882	167.1581	169.146	16582087450	16779280169	l1d_tlb_rd
