size,ccix lat,size1,single lat
0.00049,	1.539,                       0.00049,1.539        
0.00098,	1.539,                       0.00098,1.539
0.00195,	1.539,                       0.00195,1.539
0.00293,	1.539,                       0.00293,1.539
0.00391,	1.539,                       0.00391,1.539
0.00586,	1.539,                       0.00586,1.539
0.00781,	1.539,                       0.00781,1.539
0.00977,	1.539,                       0.00977,1.539
0.01172,	1.539,                       0.01172,1.539
0.01367,	1.539,                       0.01367,1.539
0.01562,	1.539,                       0.01562,1.539
0.01758,	1.539,                       0.01758,1.539
0.01953,	1.539,                       0.01953,1.539
0.02148,	1.539,                       0.02148,1.539
0.02344,	1.539,                       0.02344,1.539
0.02539,	1.539,                       0.02539,1.539
0.02734,	1.539,                       0.02734,1.539
0.02930,	1.539,                       0.02930,1.539
0.03125,	1.539,                       0.03125,1.539
0.03516,	1.539,                       0.03516,1.539
0.03906,	1.539,                       0.03906,1.539
0.04297,	1.539,                       0.04297,1.539
0.04688,	1.539,                       0.04688,1.539
0.05078,	1.539,                       0.05078,1.539
0.05469,	1.539,                       0.05469,1.539
0.05859,	1.539,                       0.05859,1.539
0.06250,	1.539,                       0.06250,1.539
0.07031,	3.477,                       0.07031,3.477
0.07812,	5.002,                       0.07812,5.002
0.08594,	5.002,                       0.08594,5.002
0.09375,	5.002,                       0.09375,5.002
0.10156,	5.238,                       0.10156,5.002
0.10938,	5.002,                       0.10938,5.002
0.11719,	5.207,                       0.11719,5.002
0.12500,	5.002,                       0.12500,5.002
0.14062,	5.087,                       0.14062,5.002
0.15625,	5.002,                       0.15625,5.002
0.17188,	5.072,                       0.17188,5.002
0.18750,	5.002,                       0.18750,5.002
0.20312,	5.079,                       0.20312,5.020
0.21875,	5.019,                       0.21875,5.020
0.23438,	5.019,                       0.23438,5.020
0.25000,	5.020,                       0.25000,5.020
0.28125,	5.052,                       0.28125,5.020
0.31250,	5.058,                       0.31250,5.020
0.34375,	5.020,                       0.34375,5.020
0.37500,	5.052,                       0.37500,5.020
0.40625,	5.021,                       0.40625,5.020
0.43750,	5.069,                       0.43750,5.020
0.46875,	5.020,                       0.46875,5.020
0.50000,	5.044,                       0.50000,5.020
0.56250,	5.047,                       0.56250,5.020
0.62500,	5.655,                       0.62500,5.020
0.68750,	5.558,                       0.68750,5.020
0.75000,	6.021,                       0.75000,5.020
0.81250,	6.058,                       0.81250,5.020
0.87500,	6.554,                       0.87500,5.021
0.93750,	7.003,                       0.93750,5.027
1.00000,	7.685,                       1.00000,5.031
1.12500,	9.048,                       1.12500,15.094
1.25000,	10.819,                      1.25000,15.097
1.37500,	11.408,                      1.37500,15.096
1.50000,	13.259,                      1.50000,15.099
1.62500,	14.455,                      1.62500,15.102
1.75000,	14.853,                      1.75000,15.112
1.87500,	35.115,                      1.87500,15.115
2.00000,	64.435,                      2.00000,15.263
2.25000,	136.052,                     2.25000,22.281
2.50000,	201.929,                     2.50000,26.031
2.75000,	256.049,                     2.75000,28.401
3.00000,	297.369,                     3.00000,30.145
3.25000,	331.695,                     3.25000,31.425
3.50000,	348.017,                     3.50000,32.514
3.75000,	363.811,                     3.75000,33.407
4.00000,	376.994,                     4.00000,34.024
4.50000,	395.877,                     4.50000,35.243
5.00000,	410.268,                     5.00000,36.072
5.50000,	420.477,                     5.50000,36.748
6.00000,	427.764,                     6.00000,37.290
6.50000,	433.480,                     6.50000,37.727
7.00000,	439.721,                     7.00000,38.100
7.50000,	444.731,                     7.50000,38.485
8.00000,	449.100,                     8.00000,38.747
9.00000,	457.014,                     9.00000,40.876
10.00000,	 470.177,                    10.00000,49.670
11.00000,	 485.252,                    11.00000,60.659
12.00000,	 497.097,                    12.00000,70.377
13.00000,	 507.925,                    13.00000,78.010
14.00000,	 516.469,                    14.00000,84.143
15.00000,	 523.063,                    15.00000,88.917
16.00000,	 529.111,                    16.00000,93.050
18.00000,	 538.237,                    18.00000,99.031
20.00000,	 545.438,                    20.00000,103.123
22.00000,	 550.255,                    22.00000,106.108
24.00000,	 553.768,                    24.00000,108.345
26.00000,	 556.845,                    26.00000,110.095
28.00000,	 559.106,                    28.00000,111.341
30.00000,	 561.587,                    30.00000,112.469
32.00000,	 563.172,                    32.00000,113.284
36.00000,	 565.872,                    36.00000,114.343
40.00000,	 567.894,                    40.00000,114.845
44.00000,	 569.218,                    44.00000,115.200
48.00000,	 570.404,                    48.00000,115.561
52.00000,	 571.162,                    52.00000,115.654
56.00000,	 571.869,                    56.00000,116.174
60.00000,	 572.554,                    60.00000,116.264
64.00000,	 573.167,                    64.00000,116.409
72.00000,	 574.096,                    72.00000,116.558
80.00000,	 574.648,                    80.00000,116.673
88.00000,	 575.792,                    88.00000,116.615
96.00000,	 575.606,                    96.00000,116.670
104.00000,	  575.721,                   104.00000,116.640
112.00000,	  575.770,                   112.00000,116.535
120.00000,	  575.761,                   120.00000,116.502
128.00000,	  575.754,                   128.00000,116.502
144.00000,	  575.728,                   144.00000,116.404
160.00000,	  575.692,                   160.00000,116.547
176.00000,	  575.759,                   176.00000,116.404
192.00000,	  575.818,                   192.00000,116.481
208.00000,	  575.832,                   208.00000,116.345
224.00000,	  575.858,                   224.00000,116.421
240.00000,	  575.815,                   240.00000,116.281
256.00000,	  575.865,                   256.00000,116.365
288.00000,	  575.842,                   288.00000,116.285
320.00000,	  575.809,                   320.00000,116.321
352.00000,	  575.813,                   352.00000,116.256
384.00000,	  575.801,                   384.00000,116.319
416.00000,	  575.877,                   416.00000,116.167
448.00000,	  575.857,                   448.00000,116.215
480.00000,	  575.848,                   480.00000,116.164
512.00000,	  575.831,                   512.00000,116.225
576.00000,	  575.835,                   576.00000,116.177
640.00000,	  575.855,                   640.00000,116.209
704.00000,	  575.867,                   704.00000,116.231
768.00000,	  575.879,                   768.00000,116.290
832.00000,	  575.891,                   832.00000,116.104
896.00000,	  575.869,                   896.00000,116.213
960.00000,	  575.880,                   960.00000,116.212
1024.00000,	   575.850,                  1024.00000,116.282

